,RMSE_train,RMSE_test,R2_train,R2_test,R_train,R_test,Time
CV1-1,0.5706559136808126,0.9138450263518825,0.7799096261946433,0.452319707080307,0.9185021034878421,0.6787971630604563,139.6983733177185
CV1-2,0.5053280758944426,0.8978842559008839,0.8295417372693388,0.4440630171019341,0.9274259095210513,0.6663975224836639,141.550598859787
CV1-3,0.5219450737916157,0.8998668510166152,0.8174886265156032,0.4500196150619139,0.9274891340971624,0.6715582327938758,138.9457721710205
CV1-4,0.5230614589906066,0.9090005247820567,0.8162267747223958,0.444376411905267,0.9295890332949568,0.666880908370609,138.6930251121521
CV1-5,0.4070385788221602,0.9367359069419293,0.8883605998816816,0.41768865836491587,0.9501409970458807,0.6528852263386355,152.15596652030945
CV2-1,0.5272534416459005,0.9090415208193784,0.8129374101448466,0.4486214365220337,0.9231031275676469,0.6712466347937772,139.4739830493927
CV2-2,0.5618721657900093,0.874002730404916,0.7888746733853024,0.47750052470316695,0.9143120754483919,0.6921649608565072,137.73112511634827
CV2-3,0.7717695673694942,1.0277724170775646,0.5981907022578783,0.30220455983473105,0.7905447847471213,0.5868214191443409,144.33024716377258
CV2-4,0.5579606150717361,0.8798924072789337,0.7935424140023627,0.45148149205825183,0.925074386338881,0.6730329906365409,138.2220742702484
CV2-5,0.4738944856769664,0.92625223850937,0.8473872267167065,0.4490134053384047,0.9442626002928483,0.6720307789281968,144.67610955238342
CV3-1,0.4425023078746153,0.9133714746367776,0.8677256618252593,0.4518708206220877,0.9443754625346701,0.6723638012131365,145.65331387519836
CV3-2,0.5151959717600084,0.9201775870043959,0.8220166401068023,0.42654782834144267,0.9311618670658559,0.6547712101214559,138.6379668712616
CV3-3,0.48448458326725474,0.8847770617922699,0.8428327173313117,0.4671826688779238,0.9339575078965455,0.6848606145392365,143.74644541740417
CV3-4,0.5394658260428075,0.9241390806798021,0.8038023536334242,0.43427582050057045,0.9258257962674712,0.6625113727669422,141.93229722976685
CV3-5,0.4525473289908594,0.884607435537452,0.8629878274591078,0.4655557145212721,0.9474028948130968,0.6870902417172049,145.21366000175476
CV4-1,0.49089725015860636,0.9031601824301669,0.8386842694881969,0.44427774140578036,0.934036179273436,0.6702892777958723,142.07685208320618
CV4-2,0.4415375691445655,0.888879609174546,0.8704903786738043,0.4442871307445758,0.9438161917761754,0.6699477850907907,148.91015148162842
CV4-3,0.4700002545134571,0.9127710454824179,0.8513156392450761,0.44473688583538684,0.9398922518237821,0.6673199549840244,149.09127593040466
CV4-4,0.5794084634333785,0.9127042355603792,0.7749879041397859,0.43533253861072874,0.9170058210076493,0.6623064707741806,136.6724534034729
CV4-5,0.5137226150924906,0.9397574658856601,0.8200260189532721,0.4401680591025017,0.9250618052319663,0.6685148093263553,138.45577907562256
Prediction,0.4704060668877659,0.8719940780694433,0.8513543871102022,0.4426640764405999,0.9338755821101731,0.6750421269567314,158.6978976726532
